542.585510 -452.296204 509.579956, 694.541382 -650.203735 -608.902039, -36.067490 -623.503662 -423.877106, 25.872881 -260.195099 -532.424805, 
-650.203735 -608.902039 -36.067490, -623.503662 -423.877106 25.872881, -260.195099 -532.424805 540.645081, -453.025208 507.201630 690.712524, 
-423.877106 25.872881 -260.195099, -532.424805 540.645081 -453.025208, 507.201630 690.712524 -652.161377, -606.887451 -37.756668 -625.694336, 
540.645081 -453.025208 507.201630, 690.712524 -652.161377 -606.887451, -37.756668 -625.694336 -421.558624, 24.326086 -266.722443 -534.420776, 
-652.161377 -606.887451 -37.756668, -625.694336 -421.558624 24.326086, -266.722443 -534.420776 544.236389, -451.748291 505.543610 697.259094, 
-421.558624 24.326086 -266.722443, -534.420776 544.236389 -451.748291, 505.543610 697.259094 -646.177429, -612.721619 -36.749104 -620.430176, 
544.236389 -451.748291 505.543610, 697.259094 -646.177429 -612.721619, -36.749104 -620.430176 -422.151672, 24.485907 -259.835266 -532.314575, 
-646.177429 -612.721619 -36.749104, -620.430176 -422.151672 24.485907, -259.835266 -532.314575 541.805542, -452.778290 509.764618 696.544861, 
-422.151672 24.485907 -259.835266, -532.314575 541.805542 -452.778290, 509.764618 696.544861 -646.287109, -609.298767 -37.918343 -617.117004, 
541.805542 -452.778290 509.764618, 696.544861 -646.287109 -609.298767, -37.918343 -617.117004 -421.466095, 24.743351 -260.237030 -538.090698, 
-646.287109 -609.298767 -37.918343, -617.117004 -421.466095 24.743351, -260.237030 -538.090698 540.373352, -450.680176 508.673950 694.443237, 
-421.466095 24.743351 -260.237030, -538.090698 540.373352 -450.680176, 508.673950 694.443237 -647.727966, -609.477173 -40.016884 -618.221863, 
540.373352 -450.680176 508.673950, 694.443237 -647.727966 -609.477173, -40.016884 -618.221863 -424.756561, 25.488874 -258.527863 -536.782837, 
-647.727966 -609.477173 -40.016884, -618.221863 -424.756561 25.488874, -258.527863 -536.782837 542.585510, -452.296204 509.579956 694.541382, 
-424.756561 25.488874 -258.527863, -536.782837 542.585510 -452.296204, 509.579956 694.541382 -652.362000, -607.177124 -39.702652 -627.350525, 
542.585510 -452.296204 509.579956, 694.541382 -652.362000 -607.177124, -39.702652 -627.350525 -423.356964, 27.313789 -261.278839 -534.279480, 
-652.362000 -607.177124 -39.702652, -627.350525 -423.356964 27.313789, -261.278839 -534.279480 541.115967, -451.826447 510.739990 691.488892, 
-423.356964 27.313789 -261.278839, -534.279480 541.115967 -451.826447, 510.739990 691.488892 -645.930481, -608.251587 -38.936935 -617.273254, 
541.115967 -451.826447 510.739990, 691.488892 -645.930481 -608.251587, -38.936935 -617.273254 -421.172150, 26.265238 -260.237030 -538.090698, 
-645.930481 -608.251587 -38.936935, -617.273254 -421.172150 26.265238, -260.237030 -538.090698 540.373352, -450.680176 508.673950 694.443237, 
-421.172150 26.265238 -260.237030, -538.090698 540.373352 -450.680176, 508.673950 694.443237 -652.186890, -605.472046 -37.941555 -625.314392, 
540.373352 -450.680176 508.673950, 694.443237 -652.186890 -605.472046, -37.941555 -625.314392 -420.555420, 25.347130 -266.722443 -534.420776, 
-652.186890 -605.472046 -37.941555, -625.314392 -420.555420 25.347130, -266.722443 -534.420776 544.236389, -451.748291 505.543610 697.259094, 
-420.555420 25.347130 -266.722443, -534.420776 544.236389 -451.748291, 505.543610 697.259094 -649.900330, -606.820801 -33.765301 -623.072144, 
544.236389 -451.748291 505.543610, 697.259094 -649.900330 -606.820801, -33.765301 -623.072144 -420.865662, 25.298508 -260.195099 -532.424805, 
-649.900330 -606.820801 -33.765301, -623.072144 -420.865662 25.298508, -260.195099 -532.424805 540.645081, -453.025208 507.201630 690.712524, 
-420.865662 25.298508 -260.195099, -532.424805 540.645081 -453.025208, 507.201630 690.712524 -651.731873, -605.437866 -37.616405 -627.382446, 
540.645081 -453.025208 507.201630, 690.712524 -651.731873 -605.437866, -37.616405 -627.382446 -420.564056, 26.811756 -261.278839 -534.279480, 
-651.731873 -605.437866 -37.616405, -627.382446 -420.564056 26.811756, -261.278839 -534.279480 541.115967, -451.826447 510.739990 691.488892, 
-420.564056 26.811756 -261.278839, -534.279480 541.115967 -451.826447, 510.739990 691.488892 -650.983643, -604.943970 -38.640656 -628.105286, 
541.115967 -451.826447 510.739990, 691.488892 -650.983643 -604.943970, -38.640656 -628.105286 -420.594025, 28.060265 -261.278839 -534.279480, 
-650.983643 -604.943970 -38.640656, -628.105286 -420.594025 28.060265, -261.278839 -534.279480 541.115967, -451.826447 510.739990 691.488892, 
-420.594025 28.060265 -261.278839, -534.279480 541.115967 -451.826447, 510.739990 691.488892 -650.452576, -604.611572 -39.397861 -628.635254, 
541.115967 -451.826447 510.739990, 691.488892 -650.452576 -604.611572, -39.397861 -628.635254 -420.700256, 28.947613 -261.278839 -534.279480, 
-650.452576 -604.611572 -39.397861, -628.635254 -420.700256 28.947613, -261.278839 -534.279480 541.115967, -451.826447 510.739990 691.488892, 
-420.700256 28.947613 -261.278839, -534.279480 541.115967 -451.826447, 510.739990 691.488892 -650.500977, -604.117798 -38.275490 -626.717468, 
541.115967 -451.826447 510.739990, 691.488892 -650.500977 -604.117798, -38.275490 -626.717468 -419.247955, 26.647696 -266.722443 -534.420776, 
-650.500977 -604.117798 -38.275490, -626.717468 -419.247955 26.647696, -266.722443 -534.420776 544.236389, -451.748291 505.543610 697.259094, 
-419.247955 26.647696 -266.722443, -534.420776 544.236389 -451.748291, 505.543610 697.259094 -649.362000, -606.297974 -33.771015 -623.457764, 
544.236389 -451.748291 505.543610, 697.259094 -649.362000 -606.297974, -33.771015 -623.457764 -420.340210, 25.636648 -260.195099 -532.424805, 
-649.362000 -606.297974 -33.771015, -623.457764 -420.340210 25.636648, -260.195099 -532.424805 540.645081, -453.025208 507.201630 690.712524, 
-420.340210 25.636648 -260.195099, -532.424805 540.645081 -453.025208, 507.201630 690.712524 -651.447571, -604.888733 -36.825176 -625.809021, 
540.645081 -453.025208 507.201630, 690.712524 -651.447571 -604.888733, -36.825176 -625.809021 -419.178131, 24.845480 -266.722443 -534.420776, 
-651.447571 -604.888733 -36.825176, -625.809021 -419.178131 24.845480, -266.722443 -534.420776 544.236389, -451.748291 505.543610 697.259094, 
-419.178131 24.845480 -266.722443, -534.420776 544.236389 -451.748291, 505.543610 697.259094 -650.790405, -606.906738 -38.702000 -623.660645, 
544.236389 -451.748291 505.543610, 697.259094 -650.790405 -606.906738, -38.702000 -623.660645 -422.704071, 29.011356 -259.547638 -535.984436, 
-650.790405 -606.906738 -38.702000, -623.660645 -422.704071 29.011356, -259.547638 -535.984436 540.081665, -453.010254 509.660034 694.341248, 
-422.704071 29.011356 -259.547638, -535.984436 540.081665 -453.010254, 509.660034 694.341248 -649.417725, -608.894775 -40.200611 -620.240173, 
540.081665 -453.010254 509.660034, 694.341248 -649.417725 -608.894775, -40.200611 -620.240173 -421.585754, 25.183609 -262.965302 -534.854553, 
-649.417725 -608.894775 -40.200611, -620.240173 -421.585754 25.183609, -262.965302 -534.854553 536.481628, -452.132294 509.214020 695.961731, 
-421.585754 25.183609 -262.965302, -534.854553 536.481628 -452.132294, 509.214020 695.961731 -650.509583, -607.830750 -34.224777 -622.799011, 
536.481628 -452.132294 509.214020, 695.961731 -650.509583 -607.830750, -34.224777 -622.799011 -422.065155, 25.051014 -260.195099 -532.424805, 
-650.509583 -607.830750 -34.224777, -622.799011 -422.065155 25.051014, -260.195099 -532.424805 540.645081, -453.025208 507.201630 690.712524, 
-422.065155 25.051014 -260.195099, -532.424805 540.645081 -453.025208, 507.201630 690.712524 -650.226135, -609.419312 -38.126530 -619.380798, 
540.645081 -453.025208 507.201630, 690.712524 -650.226135 -609.419312, -38.126530 -619.380798 -420.921173, 23.068024 -262.965302 -534.854553, 
-650.226135 -609.419312 -38.126530, -619.380798 -420.921173 23.068024, -262.965302 -534.854553 536.481628, -452.132294 509.214020 695.961731, 
-420.921173 23.068024 -262.965302, -534.854553 536.481628 -452.132294, 509.214020 695.961731 -648.231201, -609.724304 -39.631580 -617.740906, 
536.481628 -452.132294 509.214020, 695.961731 -648.231201 -609.724304, -39.631580 -617.740906 -424.864075, 24.942799 -258.527863 -536.782837, 
-648.231201 -609.724304 -39.631580, -617.740906 -424.864075 24.942799, -258.527863 -536.782837 542.585510, -452.296204 509.579956 694.541382, 
-424.864075 24.942799 -258.527863, -536.782837 542.585510 -452.296204, 509.579956 694.541382 -651.077148, -609.144531 -34.626053 -622.654541, 
542.585510 -452.296204 509.579956, 694.541382 -651.077148 -609.144531, -34.626053 -622.654541 -423.426056, 24.600000 -260.195099 -532.424805, 
-651.077148 -609.144531 -34.626053, -622.654541 -423.426056 24.600000, -260.195099 -532.424805 540.645081, -453.025208 507.201630 690.712524, 
-423.426056 24.600000 -260.195099, -532.424805 540.645081 -453.025208, 507.201630 690.712524 -646.994202, -608.676758 -37.447521 -616.186768, 
540.645081 -453.025208 507.201630, 690.712524 -646.994202 -608.676758, -37.447521 -616.186768 -420.855408, 24.673361 -260.237030 -538.090698, 
-646.994202 -608.676758 -37.447521, -616.186768 -420.855408 24.673361, -260.237030 -538.090698 540.373352, -450.680176 508.673950 694.443237, 
-420.855408 24.673361 -260.237030, -538.090698 540.373352 -450.680176, 508.673950 694.443237 -650.741760, -608.813049 -38.534714 -618.722412, 
540.373352 -450.680176 508.673950, 694.443237 -650.741760 -608.813049, -38.534714 -618.722412 -420.834717, 23.730057 -262.965302 -534.854553, 
-650.741760 -608.813049 -38.534714, -618.722412 -420.834717 23.730057, -262.965302 -534.854553 536.481628, -452.132294 509.214020 695.961731, 
-420.834717 23.730057 -262.965302, -534.854553 536.481628 -452.132294, 509.214020 695.961731 -652.849243, -605.896301 -38.323792 -626.439453, 
536.481628 -452.132294 509.214020, 695.961731 -652.849243 -605.896301, -38.323792 -626.439453 -421.666016, 26.991488 -261.278839 -534.279480, 
-652.849243 -605.896301 -38.323792, -626.439453 -421.666016 26.991488, -261.278839 -534.279480 541.115967, -451.826447 510.739990 691.488892, 
-421.666016 26.991488 -261.278839, -534.279480 541.115967 -451.826447, 510.739990 691.488892 -649.671936, -607.042419 -34.364155 -623.395264, 
541.115967 -451.826447 510.739990, 691.488892 -649.671936 -607.042419, -34.364155 -623.395264 -421.340149, 25.664808 -260.195099 -532.424805, 
-649.671936 -607.042419 -34.364155, -623.395264 -421.340149 25.664808, -260.195099 -532.424805 540.645081, -453.025208 507.201630 690.712524, 
-421.340149 25.664808 -260.195099, -532.424805 540.645081 -453.025208, 507.201630 690.712524 -646.575989, -607.528931 -37.036873 -616.215088, 
